"","Table","Model","Variable","Hazard Ratio"
"1","4","4","Bone Loss","1.37 (1.15-1.62, p<0.001)"
"2","4","4","≥1 APOE ε4 allele","1.80 (1.23-2.63, p=0.003)"
"3","4","4","Age at Baseline Visit","1.17 (1.14-1.20, p<0.001)"
"4","4","4","BMI at Baseline Visit","0.96 (0.93-1.00, p=0.050)"
"5","4","4","EducationGroupHS","1.37 (0.93-2.02, p=0.120)"
"6","4","4","EducationGroupMissing","1.49 (0.97-2.28, p=0.068)"
"7","4","4","Male","0.97 (0.70-1.34, p=0.860)"
"8","4","4","Bone Loss:≥1 APOE ε4 allele","0.80 (0.57-1.13, p=0.200)"
"32","4","4: E4","Bone Loss","1.10 (0.81-1.50, p=0.520)"
"33","4","4: E4","Age at Baseline Visit","1.14 (1.08-1.20, p<0.001)"
"34","4","4: E4","BMI at Baseline Visit","0.95 (0.88-1.03, p=0.200)"
"35","4","4: E4","EducationGroupHS","1.07 (0.51-2.23, p=0.860)"
"36","4","4: E4","EducationGroupMissing","1.30 (0.56-2.99, p=0.540)"
"37","4","4: E4","Male","0.79 (0.41-1.53, p=0.490)"
"26","4","4: no E4","Bone Loss","1.36 (1.15-1.61, p<0.001)"
"27","4","4: no E4","Age at Baseline Visit","1.17 (1.14-1.21, p<0.001)"
"28","4","4: no E4","BMI at Baseline Visit","0.97 (0.93-1.01, p=0.120)"
"29","4","4: no E4","EducationGroupHS","1.52 (0.96-2.41, p=0.073)"
"30","4","4: no E4","EducationGroupMissing","1.59 (0.97-2.60, p=0.067)"
"31","4","4: no E4","Male","1.03 (0.71-1.50, p=0.860)"
"9","4","5","Bone Loss","4.58 (0.68-31.03, p=0.120)"
"10","4","5","Age at Baseline Visit","1.17 (1.14-1.21, p<0.001)"
"11","4","5","≥1 APOE ε4 allele","1.67 (1.16-2.39, p=0.005)"
"12","4","5","BMI at Baseline Visit","0.96 (0.93-1.00, p=0.045)"
"13","4","5","EducationGroupHS","1.38 (0.93-2.04, p=0.110)"
"14","4","5","EducationGroupMissing","1.49 (0.97-2.29, p=0.065)"
"15","4","5","Male","0.96 (0.70-1.34, p=0.830)"
"16","4","5","Bone Loss:Age at Baseline Visit","0.98 (0.96-1.01, p=0.200)"
"38","4","5: age < 79","Bone Loss","1.50 (1.16-1.94, p=0.002)"
"39","4","5: age < 79","≥1 APOE ε4 allele","2.23 (1.37-3.63, p=0.001)"
"40","4","5: age < 79","BMI at Baseline Visit","0.95 (0.90-0.99, p=0.027)"
"41","4","5: age < 79","EducationGroupHS","1.70 (1.02-2.85, p=0.043)"
"42","4","5: age < 79","EducationGroupMissing","4.99 (2.50-9.96, p<0.001)"
"43","4","5: age < 79","Male","1.27 (0.79-2.04, p=0.330)"
"44","4","5: age >= 79","Bone Loss","1.18 (1.01-1.38, p=0.042)"
"45","4","5: age >= 79","≥1 APOE ε4 allele","1.17 (0.77-1.77, p=0.470)"
"46","4","5: age >= 79","BMI at Baseline Visit","0.96 (0.92-1.00, p=0.045)"
"47","4","5: age >= 79","EducationGroupHS","1.32 (0.81-2.15, p=0.270)"
"48","4","5: age >= 79","EducationGroupMissing","1.68 (1.06-2.65, p=0.027)"
"49","4","5: age >= 79","Male","0.72 (0.50-1.04, p=0.084)"
"17","4","6","Bone Loss","1.26 (1.00-1.59, p=0.055)"
"18","4","6","Baseline BMDQ4","1.05 (0.69-1.58, p=0.830)"
"19","4","6","Age at Baseline Visit","1.16 (1.13-1.20, p<0.001)"
"20","4","6","≥1 APOE ε4 allele","1.65 (1.15-2.37, p=0.007)"
"21","4","6","BMI at Baseline Visit","0.97 (0.93-1.00, p=0.064)"
"22","4","6","EducationGroupHS","1.37 (0.93-2.03, p=0.110)"
"23","4","6","EducationGroupMissing","1.48 (0.96-2.27, p=0.077)"
"24","4","6","Male","1.00 (0.70-1.44, p=0.980)"
"25","4","6","Bone Loss:Baseline BMDQ4","1.05 (0.76-1.43, p=0.780)"
