"","Table","Model","Variable","Hazard Ratio"
"1","S6","1.1","Bone Loss","1.33 (1.12-1.58, p=0.001)"
"2","S6","1.1","Age at Baseline Visit","1.14 (1.11-1.18, p<0.001)"
"3","S6","1.1","≥1 APOE ε4 allele","1.59 (1.06-2.38, p=0.026)"
"4","S6","1.1","BMI at Baseline Visit","0.94 (0.91-0.98, p=0.007)"
"5","S6","1.1","EducationGroupHS","1.54 (0.96-2.47, p=0.076)"
"6","S6","1.1","EducationGroupMissing","1.79 (1.11-2.88, p=0.017)"
"7","S6","1.1","Male","0.88 (0.61-1.28, p=0.510)"
"8","S6","1.1","Bone Loss2","1.07 (0.96-1.19, p=0.240)"
"9","S6","1.1","Age at Baseline Visit","1.15 (1.11-1.18, p<0.001)"
"10","S6","1.1","≥1 APOE ε4 allele","1.55 (1.03-2.31, p=0.034)"
"11","S6","1.1","BMI at Baseline Visit","0.94 (0.90-0.98, p=0.005)"
"12","S6","1.1","EducationGroupHS","1.49 (0.93-2.39, p=0.100)"
"13","S6","1.1","EducationGroupMissing","1.85 (1.15-2.98, p=0.011)"
"14","S6","1.1","Male","0.86 (0.59-1.24, p=0.410)"
